DOMAIN;INCLUDE_EXCLUDE;FIELD;Query;Result_Counts
Intention;INCLUDE;MeSH;"""causality""[MeSH]";962516
Intention;INCLUDE;Title/Abstract;"""causal*""[Title/Abstract]";139814
INTENTION;INCLUDE;Combined;"""causality""[MeSH] OR ""causal*""[Title/Abstract]";1085861
Suicide;INCLUDE;MeSH;"""Suicide Prevention""[Mesh]";11153
Suicide;INCLUDE;MeSH;"""Suicide, Attempted""[Mesh]";22484
Suicide;INCLUDE;MeSH;"""Suicide, Completed""[Mesh]";271
Suicide;INCLUDE;MeSH;"""Suicide""[Mesh:NoExp]";39532
Suicide;INCLUDE;Title/Abstract;"""Intentional Poisoning*""[Title/Abstract]";267
Suicide;INCLUDE;Title/Abstract;"""suicid*""[Title/Abstract]";93628
SUICIDE;INCLUDE;Combined;"""Suicide Prevention""[Mesh] OR ""Suicide, Attempted""[Mesh] OR ""Suicide, Completed""[Mesh] OR ""Suicide""[Mesh:NoExp] OR ""Intentional Poisoning*""[Title/Abstract] OR ""suicid*""[Title/Abstract]";107600
Suicide;EXCLUDE;MeSH;"""Suicide, assisted""[Mesh]";6217
Suicide;EXCLUDE;MeSH;"""Euthanasia""[Mesh]";15241
Suicide;EXCLUDE;MeSH;"""Right to Die""[Mesh]";4958
Suicide;EXCLUDE;MeSH;"""Suicide, Assisted""[Mesh]";6217
Suicide;EXCLUDE;Text;"""assisted suicide""[Title/Abstract]";3302
Suicide;EXCLUDE;Text;"""Euthanasia""[Title/Abstract]";23745
Suicide;EXCLUDE;Text;"""physician-assisted suicide""[Title/Abstract]";1697
Suicide;EXCLUDE;Text;"""Right to Die""[Title/Abstract]";980
SUICIDE;EXCLUDE;Combined;"""Suicide, assisted""[Mesh] OR ""Euthanasia""[Mesh] OR ""Right to Die""[Mesh] OR ""Suicide, Assisted""[Mesh] OR ""assisted suicide""[Title/Abstract] OR ""Euthanasia""[Title/Abstract] OR ""physician-assisted suicide""[Title/Abstract] OR ""Right to Die""[Title/Abstract]";33842
Method;INCLUDE;MeSH;"""Mediation Analysis""[Mesh]";663
Method;INCLUDE;MeSH;"""Mendelian Randomization Analysis""[MeSH]";3242
Method;INCLUDE;Title/Abstract;"""Analysis of Moment Structure*""[Title/Abstract]";78
Method;INCLUDE;Title/Abstract;"""Ancestral directed acyclic graph""[Title/Abstract]";0
Method;INCLUDE;Title/Abstract;"""Ancestral graph factorization""[Title/Abstract]";0
Method;INCLUDE;Title/Abstract;"""Ancestral graph Markov blanket""[Title/Abstract]";0
Method;INCLUDE;Title/Abstract;"""Ancestral graph Markov model""[Title/Abstract]";0
Method;INCLUDE;Title/Abstract;"""Ancestral Graph""[Title/Abstract]";15
Method;INCLUDE;Title/Abstract;"""Bayesian network*""[Title/Abstract]";4827
Method;INCLUDE;Title/Abstract;"""Causal ancestral graph""[Title/Abstract]";0
Method;INCLUDE;Title/Abstract;"""Causal belief network""[Title/Abstract]";0
Method;INCLUDE;Title/Abstract;"""Causal counterfactual graph""[Title/Abstract]";0
Method;INCLUDE;Title/Abstract;"""causal deep learning""[Title/Abstract]";4
Method;INCLUDE;Title/Abstract;"""Causal diagram""[Title/Abstract]";85
Method;INCLUDE;Title/Abstract;"""Causal directed acyclic graph*""[Title/Abstract]";42
Method;INCLUDE;Title/Abstract;"""Causal discovery mining""[Title/Abstract]";0
Method;INCLUDE;Title/Abstract;"""Causal discovery""[Title/Abstract]";159
Method;INCLUDE;Title/Abstract;"""Causal effect inference""[Title/Abstract]";4
Method;INCLUDE;Title/Abstract;"""Causal Effect Networks""[Title/Abstract]";0
Method;INCLUDE;Title/Abstract;"""Causal feature learning""[Title/Abstract]";0
Method;INCLUDE;Title/Abstract;"""Causal feature selection""[Title/Abstract]";6
Method;INCLUDE;Title/Abstract;"""Causal graph discovery""[Title/Abstract]";0
Method;INCLUDE;Title/Abstract;"""Causal inference discovery""[Title/Abstract]";0
Method;INCLUDE;Title/Abstract;"""Causal inference learning""[Title/Abstract]";0
Method;INCLUDE;Title/Abstract;"""Causal influence diagram*""[Title/Abstract]";0
Method;INCLUDE;Title/Abstract;"""Causal influence map*""[Title/Abstract]";0
Method;INCLUDE;Title/Abstract;"""Causal learning""[Title/Abstract]";270
Method;INCLUDE;Title/Abstract;"""Causal map*""[Title/Abstract]";38
Method;INCLUDE;Title/Abstract;"""Causal Markov blanket*""[Title/Abstract]";0
Method;INCLUDE;Title/Abstract;"""Causal Markov propert*""[Title/Abstract]";0
Method;INCLUDE;Title/Abstract;"""Causal Model Selection""[Title/Abstract]";0
